[Skill INFO]:1191_NA_1:{'CN_skill_tag': '第1段普攻', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '普攻', 'skill_tag': '1191_NA_1', 'CN_skill_tag': '第1段普攻', 'skill_text': '0', 'INSTRUCTION': '0', 'damage_ratio': 0.488, 'damage_ratio_growth': 0.045, 'D_LEVEL12': 0.983, 'D_LEVEL14': 1.073, 'D_LEVEL16': 1.163, 'stun_ratio': 0.244, 'stun_ratio_growth': 0.012, 'S_LEVEL12': 0.376, 'S_LEVEL14': 0.4, 'S_LEVEL16': 0.424, 'sp_threshold': 0, 'sp_consume': 0, 'sp_recovery': 0.8, 'fever_recovery': 5.55, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 0.0, 'skill_type': 0, 'trigger_buff_level': 0, 'element_type': 0, 'element_damage_percent': 0.0, 'diff_multiplier': 0, 'ticks': 30, 'hit_times': 2}, 'anomaly_accumlation': 0.0, 'damage_ratio': 0.983, 'distance_attenuation': 0, 'element_damage_percent': 0.0, 'element_type': 0, 'fever_recovery': 5.55, 'hit_times': 2, 'skill_tag': '1191_NA_1', 'skill_type': 0, 'sp_consume': 0.0, 'sp_recovery': 0.8, 'sp_threshold': 0.0, 'stun_ratio': 0.376, 'ticks': 30, 'trigger_buff_level': 0}
[Skill INFO]:1191_E_EX_A:{'CN_skill_tag': '强化E形态A', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '强化特殊技', 'skill_tag': '1191_E_EX_A', 'CN_skill_tag': '强化E形态A', 'skill_text': '0', 'INSTRUCTION': '0', 'damage_ratio': 5.533, 'damage_ratio_growth': 0.503, 'D_LEVEL12': 11.066, 'D_LEVEL14': 12.072, 'D_LEVEL16': 13.078, 'stun_ratio': 3.717, 'stun_ratio_growth': 0.169, 'S_LEVEL12': 5.576, 'S_LEVEL14': 5.914, 'S_LEVEL16': 6.252, 'sp_threshold': 40, 'sp_consume': 40, 'sp_recovery': 0.0, 'fever_recovery': 118.83, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 37219.0, 'skill_type': 1, 'trigger_buff_level': 2, 'element_type': 3, 'element_damage_percent': 1.0, 'diff_multiplier': 0, 'ticks': 80, 'hit_times': 9}, 'anomaly_accumlation': 372.19, 'damage_ratio': 11.066, 'distance_attenuation': 0, 'element_damage_percent': 1.0, 'element_type': 3, 'fever_recovery': 118.83, 'hit_times': 9, 'skill_tag': '1191_E_EX_A', 'skill_type': 1, 'sp_consume': 40.0, 'sp_recovery': 0.0, 'sp_threshold': 40.0, 'stun_ratio': 5.5760000000000005, 'ticks': 80, 'trigger_buff_level': 2}
[Skill INFO]:1191_RA:{'CN_skill_tag': '冲刺攻击', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '冲刺攻击', 'skill_tag': '1191_RA', 'CN_skill_tag': '冲刺攻击', 'skill_text': '0', 'INSTRUCTION': '普通冲刺攻击', 'damage_ratio': 0.77, 'damage_ratio_growth': 0.07, 'D_LEVEL12': 1.54, 'D_LEVEL14': 1.68, 'D_LEVEL16': 1.82, 'stun_ratio': 0.385, 'stun_ratio_growth': 0.018, 'S_LEVEL12': 0.583, 'S_LEVEL14': 0.619, 'S_LEVEL16': 0.655, 'sp_threshold': 0, 'sp_consume': 0, 'sp_recovery': 1.26, 'fever_recovery': 8.75, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 0.0, 'skill_type': 2, 'trigger_buff_level': 3, 'element_type': 0, 'element_damage_percent': 0.0, 'diff_multiplier': 0, 'ticks': 44, 'hit_times': 2}, 'anomaly_accumlation': 0.0, 'damage_ratio': 1.54, 'distance_attenuation': 0, 'element_damage_percent': 0.0, 'element_type': 0, 'fever_recovery': 8.75, 'hit_times': 2, 'skill_tag': '1191_RA', 'skill_type': 2, 'sp_consume': 0.0, 'sp_recovery': 1.26, 'sp_threshold': 0.0, 'stun_ratio': 0.583, 'ticks': 44, 'trigger_buff_level': 3}
[Skill INFO]:1191_RA_A:{'CN_skill_tag': '冲刺攻击形态A', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '冲刺攻击', 'skill_tag': '1191_RA_A', 'CN_skill_tag': '冲刺攻击形态A', 'skill_text': '0', 'INSTRUCTION': '冲刺攻击冰附魔', 'damage_ratio': 1.457, 'damage_ratio_growth': 0.133, 'D_LEVEL12': 2.92, 'D_LEVEL14': 3.186, 'D_LEVEL16': 3.452, 'stun_ratio': 0.788, 'stun_ratio_growth': 0.036, 'S_LEVEL12': 1.184, 'S_LEVEL14': 1.256, 'S_LEVEL16': 1.328, 'sp_threshold': 0, 'sp_consume': 0, 'sp_recovery': 2.58, 'fever_recovery': 17.93, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 7163.0, 'skill_type': 2, 'trigger_buff_level': 3, 'element_type': 3, 'element_damage_percent': 1.0, 'diff_multiplier': 0, 'ticks': 44, 'hit_times': 2}, 'anomaly_accumlation': 71.63, 'damage_ratio': 2.92, 'distance_attenuation': 0, 'element_damage_percent': 1.0, 'element_type': 3, 'fever_recovery': 17.93, 'hit_times': 2, 'skill_tag': '1191_RA_A', 'skill_type': 2, 'sp_consume': 0.0, 'sp_recovery': 2.58, 'sp_threshold': 0.0, 'stun_ratio': 1.184, 'ticks': 44, 'trigger_buff_level': 3}
[Skill INFO]:1191_CA:{'CN_skill_tag': '闪避反击', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '闪避反击', 'skill_tag': '1191_CA', 'CN_skill_tag': '闪避反击', 'skill_text': '0', 'INSTRUCTION': '0', 'damage_ratio': 2.626, 'damage_ratio_growth': 0.239, 'D_LEVEL12': 5.255, 'D_LEVEL14': 5.733, 'D_LEVEL16': 6.211, 'stun_ratio': 2.274, 'stun_ratio_growth': 0.104, 'S_LEVEL12': 3.418, 'S_LEVEL14': 3.626, 'S_LEVEL16': 3.834, 'sp_threshold': 0, 'sp_consume': 0, 'sp_recovery': 3.84, 'fever_recovery': 26.7, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 0.0, 'skill_type': 2, 'trigger_buff_level': 4, 'element_type': 0, 'element_damage_percent': 1.0, 'diff_multiplier': 0, 'ticks': 64, 'hit_times': 4}, 'anomaly_accumlation': 0.0, 'damage_ratio': 5.255, 'distance_attenuation': 0, 'element_damage_percent': 1.0, 'element_type': 0, 'fever_recovery': 26.7, 'hit_times': 4, 'skill_tag': '1191_CA', 'skill_type': 2, 'sp_consume': 0.0, 'sp_recovery': 3.84, 'sp_threshold': 0.0, 'stun_ratio': 3.418, 'ticks': 64, 'trigger_buff_level': 4}
[Skill INFO]:1191_QTE:{'CN_skill_tag': '连携技', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '连携技', 'skill_tag': '1191_QTE', 'CN_skill_tag': '连携技', 'skill_text': '0', 'INSTRUCTION': '0', 'damage_ratio': 7.946, 'damage_ratio_growth': 0.723, 'D_LEVEL12': 15.899, 'D_LEVEL14': 17.345, 'D_LEVEL16': 18.791, 'stun_ratio': 3.557, 'stun_ratio_growth': 0.162, 'S_LEVEL12': 5.339, 'S_LEVEL14': 5.663, 'S_LEVEL16': 5.987, 'sp_threshold': 0, 'sp_consume': 0, 'sp_recovery': 0.0, 'fever_recovery': 197.23, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 52283.0, 'skill_type': 3, 'trigger_buff_level': 5, 'element_type': 3, 'element_damage_percent': 1.0, 'diff_multiplier': 0, 'ticks': 211, 'hit_times': 13}, 'anomaly_accumlation': 522.83, 'damage_ratio': 15.899, 'distance_attenuation': 0, 'element_damage_percent': 1.0, 'element_type': 3, 'fever_recovery': 197.23, 'hit_times': 13, 'skill_tag': '1191_QTE', 'skill_type': 3, 'sp_consume': 0.0, 'sp_recovery': 0.0, 'sp_threshold': 0.0, 'stun_ratio': 5.339, 'ticks': 211, 'trigger_buff_level': 5}
[Skill INFO]:1191_Q:{'CN_skill_tag': '终结技', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '终结技', 'skill_tag': '1191_Q', 'CN_skill_tag': '终结技', 'skill_text': '0', 'INSTRUCTION': '0', 'damage_ratio': 18.908, 'damage_ratio_growth': 1.719, 'D_LEVEL12': 37.817, 'D_LEVEL14': 41.255, 'D_LEVEL16': 44.693, 'stun_ratio': 1.852, 'stun_ratio_growth': 0.085, 'S_LEVEL12': 2.787, 'S_LEVEL14': 2.957, 'S_LEVEL16': 3.127, 'sp_threshold': 0, 'sp_consume': 0, 'sp_recovery': 0.0, 'fever_recovery': 0.0, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 16833.0, 'skill_type': 3, 'trigger_buff_level': 6, 'element_type': 3, 'element_damage_percent': 1.0, 'diff_multiplier': 0, 'ticks': 0, 'hit_times': 1}, 'anomaly_accumlation': 168.33, 'damage_ratio': 37.81700000000001, 'distance_attenuation': 0, 'element_damage_percent': 1.0, 'element_type': 3, 'fever_recovery': 0.0, 'hit_times': 1, 'skill_tag': '1191_Q', 'skill_type': 3, 'sp_consume': 0.0, 'sp_recovery': 0.0, 'sp_threshold': 0.0, 'stun_ratio': 2.787, 'ticks': 0, 'trigger_buff_level': 6}
[Skill INFO]:1191_BH_Aid:{'CN_skill_tag': '受击支援', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '受击支援', 'skill_tag': '1191_BH_Aid', 'CN_skill_tag': '受击支援', 'skill_text': '0', 'INSTRUCTION': '公测中，支援技能独立成了一个新的技能，共有12个等级。3、5命不会增加该等级。', 'damage_ratio': 1.211, 'damage_ratio_growth': 0.111, 'D_LEVEL12': 2.432, 'D_LEVEL14': 2.654, 'D_LEVEL16': 2.876, 'stun_ratio': 1.211, 'stun_ratio_growth': 0.122, 'S_LEVEL12': 2.553, 'S_LEVEL14': 2.797, 'S_LEVEL16': 3.041, 'sp_threshold': 0, 'sp_consume': 0, 'sp_recovery': 3.96, 'fever_recovery': 27.53, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 11003.0, 'skill_type': 5, 'trigger_buff_level': 7, 'element_type': 3, 'element_damage_percent': 1.0, 'diff_multiplier': 0, 'ticks': 0, 'hit_times': 1}, 'anomaly_accumlation': 110.03, 'damage_ratio': 2.4320000000000004, 'distance_attenuation': 0, 'element_damage_percent': 1.0, 'element_type': 3, 'fever_recovery': 27.53, 'hit_times': 1, 'skill_tag': '1191_BH_Aid', 'skill_type': 5, 'sp_consume': 0.0, 'sp_recovery': 3.96, 'sp_threshold': 0.0, 'stun_ratio': 2.553, 'ticks': 0, 'trigger_buff_level': 7}
[Skill INFO]:1191_LightD_Aid:{'CN_skill_tag': '轻招架', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '招架/回避支援', 'skill_tag': '1191_LightD_Aid', 'CN_skill_tag': '轻招架', 'skill_text': '0', 'INSTRUCTION': '公测中，支援技能独立成了一个新的技能，共有12个等级。3、5命不会增加该等级。', 'damage_ratio': 0.0, 'damage_ratio_growth': 0.0, 'D_LEVEL12': 0.0, 'D_LEVEL14': 0.0, 'D_LEVEL16': 0.0, 'stun_ratio': 2.493, 'stun_ratio_growth': 0.114, 'S_LEVEL12': 3.747, 'S_LEVEL14': 3.975, 'S_LEVEL16': 4.203, 'sp_threshold': 0, 'sp_consume': 0, 'sp_recovery': 0.0, 'fever_recovery': 16.68, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 0.0, 'skill_type': 5, 'trigger_buff_level': 8, 'element_type': 0, 'element_damage_percent': 1.0, 'diff_multiplier': 0, 'ticks': 0, 'hit_times': 1}, 'anomaly_accumlation': 0.0, 'damage_ratio': 0.0, 'distance_attenuation': 0, 'element_damage_percent': 1.0, 'element_type': 0, 'fever_recovery': 16.68, 'hit_times': 1, 'skill_tag': '1191_LightD_Aid', 'skill_type': 5, 'sp_consume': 0.0, 'sp_recovery': 0.0, 'sp_threshold': 0.0, 'stun_ratio': 3.747, 'ticks': 0, 'trigger_buff_level': 8}
[Skill INFO]:1191_HeavyD_Aid:{'CN_skill_tag': '重招架', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '招架/回避支援', 'skill_tag': '1191_HeavyD_Aid', 'CN_skill_tag': '重招架', 'skill_text': '0', 'INSTRUCTION': '公测中，支援技能独立成了一个新的技能，共有12个等级。3、5命不会增加该等级。', 'damage_ratio': 0.0, 'damage_ratio_growth': 0.0, 'D_LEVEL12': 0.0, 'D_LEVEL14': 0.0, 'D_LEVEL16': 0.0, 'stun_ratio': 3.043, 'stun_ratio_growth': 0.139, 'S_LEVEL12': 4.572, 'S_LEVEL14': 4.85, 'S_LEVEL16': 5.128, 'sp_threshold': 0, 'sp_consume': 0, 'sp_recovery': 0.0, 'fever_recovery': 29.18, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 0.0, 'skill_type': 5, 'trigger_buff_level': 8, 'element_type': 0, 'element_damage_percent': 1.0, 'diff_multiplier': 0, 'ticks': 0, 'hit_times': 1}, 'anomaly_accumlation': 0.0, 'damage_ratio': 0.0, 'distance_attenuation': 0, 'element_damage_percent': 1.0, 'element_type': 0, 'fever_recovery': 29.18, 'hit_times': 1, 'skill_tag': '1191_HeavyD_Aid', 'skill_type': 5, 'sp_consume': 0.0, 'sp_recovery': 0.0, 'sp_threshold': 0.0, 'stun_ratio': 4.572, 'ticks': 0, 'trigger_buff_level': 8}
[Skill INFO]:1191_ChainD_Aid:{'CN_skill_tag': '连续招架', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '招架/回避支援', 'skill_tag': '1191_ChainD_Aid', 'CN_skill_tag': '连续招架', 'skill_text': '0', 'INSTRUCTION': '公测中，支援技能独立成了一个新的技能，共有12个等级。3、5命不会增加该等级。', 'damage_ratio': 0.0, 'damage_ratio_growth': 0.0, 'D_LEVEL12': 0.0, 'D_LEVEL14': 0.0, 'D_LEVEL16': 0.0, 'stun_ratio': 1.283, 'stun_ratio_growth': 0.059, 'S_LEVEL12': 1.932, 'S_LEVEL14': 2.05, 'S_LEVEL16': 2.168, 'sp_threshold': 0, 'sp_consume': 0, 'sp_recovery': 0.0, 'fever_recovery': 29.18, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 0.0, 'skill_type': 5, 'trigger_buff_level': 8, 'element_type': 0, 'element_damage_percent': 1.0, 'diff_multiplier': 0, 'ticks': 0, 'hit_times': 1}, 'anomaly_accumlation': 0.0, 'damage_ratio': 0.0, 'distance_attenuation': 0, 'element_damage_percent': 1.0, 'element_type': 0, 'fever_recovery': 29.18, 'hit_times': 1, 'skill_tag': '1191_ChainD_Aid', 'skill_type': 5, 'sp_consume': 0.0, 'sp_recovery': 0.0, 'sp_threshold': 0.0, 'stun_ratio': 1.932, 'ticks': 0, 'trigger_buff_level': 8}
[Skill INFO]:1191_Assault_Aid:{'CN_skill_tag': '突击支援', '_InitSkill__level': 12, '_InitSkill__raw_skill_data': {'CID': 1191, 'name': '艾莲', 'CN_TriggerLevel': '突击支援', 'skill_tag': '1191_Assault_Aid', 'CN_skill_tag': '突击支援', 'skill_text': '0', 'INSTRUCTION': '公测中，支援技能独立成了一个新的技能，共有12个等级。3、5命不会增加该等级。', 'damage_ratio': 3.994, 'damage_ratio_growth': 0.364, 'D_LEVEL12': 7.998, 'D_LEVEL14': 8.726, 'D_LEVEL16': 9.454, 'stun_ratio': 3.491, 'stun_ratio_growth': 0.159, 'S_LEVEL12': 5.24, 'S_LEVEL14': 5.558, 'S_LEVEL16': 5.876, 'sp_threshold': 0, 'sp_consume': 0, 'sp_recovery': 0.0, 'fever_recovery': 102.23, 'distance_attenuation': 0, 'initial_level': 0, 'anomaly_accumlation': 34017.0, 'skill_type': 5, 'trigger_buff_level': 9, 'element_type': 3, 'element_damage_percent': 1.0, 'diff_multiplier': 0, 'ticks': 0, 'hit_times': 1}, 'anomaly_accumlation': 340.17, 'damage_ratio': 7.997999999999999, 'distance_attenuation': 0, 'element_damage_percent': 1.0, 'element_type': 3, 'fever_recovery': 102.23, 'hit_times': 1, 'skill_tag': '1191_Assault_Aid', 'skill_type': 5, 'sp_consume': 0.0, 'sp_recovery': 0.0, 'sp_threshold': 0.0, 'stun_ratio': 5.24, 'ticks': 0, 'trigger_buff_level': 9}
