BuffName,id,OfficialName,From,SpConsumption,SpRecovery_hit,Sp_Threshold,FeverRecovery,ElementAbnormalAccumlation,SkillType,TriggerBuffLevel,ElementType,TimeCost,HitNumber,DmgRelated_Attributes,StunRelated_Attributes,Interruption_Resistance
Buff-角色-莱卡恩-核心被动-失衡值提升,1141_SNA_1|1141_SNA_2|1141_SNA_3|1141_SNA_4|1141_SNA_5_FC|1141_SNA_5_NFC,,,,,,,,,,,,,,,
Buff-角色-莱卡恩-核心被动-减冰抗,,,,,,,,,,11,,,,,,
Buff-角色-莱卡恩-额外能力-失衡易伤倍率,,,,,,,,,,,,,,,,
Buff-异常-霜寒,,,,,,,,,,,,,,,,
Buff-异常-畏缩,,,,,,,,,,,,,,,,
Buff-角色-苍角-核心被动-1,1131_E_EX_A,,,,,,,,,,,,,,,
Buff-角色-苍角-核心被动-2,,,,,,,,,,,,,,,,
Buff-武器-精1含羞恶面-冰伤,,,,,,,,,,,,,,,,
Buff-武器-精2含羞恶面-冰伤,,,,,,,,,,,,,,,,
Buff-武器-精3含羞恶面-冰伤,,,,,,,,,,,,,,,,
Buff-武器-精4含羞恶面-冰伤,,,,,,,,,,,,,,,,
Buff-武器-精5含羞恶面-冰伤,,,,,,,,,,,,,,,,
Buff-武器-精1含羞恶面-叠层攻击力,,,,,,,,,,2,,,,,,
Buff-武器-精2含羞恶面-叠层攻击力,,,,,,,,,,2,,,,,,
Buff-武器-精3含羞恶面-叠层攻击力,,,,,,,,,,2,,,,,,
Buff-武器-精4含羞恶面-叠层攻击力,,,,,,,,,,2,,,,,,
Buff-武器-精5含羞恶面-叠层攻击力,,,,,,,,,,2,,,,,,
Buff-武器-精1燃狱齿轮-后台能量自动回复,,,,,,,,,,,,,,,,
Buff-武器-精2燃狱齿轮-后台能量自动回复,,,,,,,,,,,,,,,,
Buff-武器-精3燃狱齿轮-后台能量自动回复,,,,,,,,,,,,,,,,
Buff-武器-精4燃狱齿轮-后台能量自动回复,,,,,,,,,,,,,,,,
Buff-武器-精5燃狱齿轮-后台能量自动回复,,,,,,,,,,,,,,,,
Buff-武器-精1燃狱齿轮-叠层冲击力,,,,,,,,,,2,,,,,,
Buff-武器-精2燃狱齿轮-叠层冲击力,,,,,,,,,,2,,,,,,
Buff-武器-精3燃狱齿轮-叠层冲击力,,,,,,,,,,2,,,,,,
Buff-武器-精4燃狱齿轮-叠层冲击力,,,,,,,,,,2,,,,,,
Buff-武器-精5燃狱齿轮-叠层冲击力,,,,,,,,,,2,,,,,,
Buff-武器-精1拘缚者,,,,,,,,,,,7,,,,,
Buff-武器-精2拘缚者,,,,,,,,,,,7,,,,,
Buff-武器-精3拘缚者,,,,,,,,,,,7,,,,,
Buff-武器-精4拘缚者,,,,,,,,,,,7,,,,,
Buff-武器-精5拘缚者,,,,,,,,,,,7,,,,,
Buff-武器-精1焰心桂冠-冲击力提升,,,,,,,,,,15,,,,,,
Buff-武器-精2焰心桂冠-冲击力提升,,,,,,,,,,15,,,,,,
Buff-武器-精3焰心桂冠-冲击力提升,,,,,,,,,,15,,,,,,
Buff-武器-精4焰心桂冠-冲击力提升,,,,,,,,,,15,,,,,,
Buff-武器-精5焰心桂冠-冲击力提升,,,,,,,,,,15,,,,,,
Buff-武器-精1焰心桂冠-受暴伤提升,,,,,,,,,,,7,,,,,
Buff-武器-精2焰心桂冠-受暴伤提升,,,,,,,,,,,7,,,,,
Buff-武器-精3焰心桂冠-受暴伤提升,,,,,,,,,,,7,,,,,
Buff-武器-精4焰心桂冠-受暴伤提升,,,,,,,,,,,7,,,,,
Buff-武器-精5焰心桂冠-受暴伤提升,,,,,,,,,,,7,,,,,
Buff-武器-精1玉壶青冰-普攻加冲击,,,,,,,,,,0,,,,,,
Buff-武器-精2玉壶青冰-普攻加冲击,,,,,,,,,,0,,,,,,
Buff-武器-精3玉壶青冰-普攻加冲击,,,,,,,,,,0,,,,,,
Buff-武器-精4玉壶青冰-普攻加冲击,,,,,,,,,,0,,,,,,
Buff-武器-精5玉壶青冰-普攻加冲击,,,,,,,,,,0,,,,,,
Buff-武器-精1玉壶青冰-15层后增伤,,,,,,,,,,0,,,,,,
Buff-武器-精2玉壶青冰-15层后增伤,,,,,,,,,,0,,,,,,
Buff-武器-精3玉壶青冰-15层后增伤,,,,,,,,,,0,,,,,,
Buff-武器-精4玉壶青冰-15层后增伤,,,,,,,,,,0,,,,,,
Buff-武器-精5玉壶青冰-15层后增伤,,,,,,,,,,0,,,,,,
Buff-武器-精1贵重骨核-75%以上,,,,,,,,,,,,,,,,
Buff-武器-精2贵重骨核-75%以上,,,,,,,,,,,,,,,,
Buff-武器-精3贵重骨核-75%以上,,,,,,,,,,,,,,,,
Buff-武器-精4贵重骨核-75%以上,,,,,,,,,,,,,,,,
Buff-武器-精5贵重骨核-75%以上,,,,,,,,,,,,,,,,
Buff-武器-精1贵重骨核-50%以上,,,,,,,,,,,,,,,,
Buff-武器-精2贵重骨核-50%以上,,,,,,,,,,,,,,,,
Buff-武器-精3贵重骨核-50%以上,,,,,,,,,,,,,,,,
Buff-武器-精4贵重骨核-50%以上,,,,,,,,,,,,,,,,
Buff-武器-精5贵重骨核-50%以上,,,,,,,,,,,,,,,,
Buff-武器-精1人为刀俎,,,,,,,,,,,,,,,,
Buff-武器-精2人为刀俎,,,,,,,,,,,,,,,,
Buff-武器-精3人为刀俎,,,,,,,,,,,,,,,,
Buff-武器-精4人为刀俎,,,,,,,,,,,,,,,,
Buff-武器-精5人为刀俎,,,,,,,,,,,,,,,,
Buff-武器-精1德玛拉电池II型-电伤,,,,,,,,,,,,,,,,
Buff-武器-精2德玛拉电池II型-电伤,,,,,,,,,,,,,,,,
Buff-武器-精3德玛拉电池II型-电伤,,,,,,,,,,,,,,,,
Buff-武器-精4德玛拉电池II型-电伤,,,,,,,,,,,,,,,,
Buff-武器-精5德玛拉电池II型-电伤,,,,,,,,,,,,,,,,
Buff-武器-精1德玛拉电池II型-能量获得效率,,,,,,,,,,15,,,,,,
Buff-武器-精2德玛拉电池II型-能量获得效率,,,,,,,,,,15,,,,,,
Buff-武器-精3德玛拉电池II型-能量获得效率,,,,,,,,,,15,,,,,,
Buff-武器-精4德玛拉电池II型-能量获得效率,,,,,,,,,,15,,,,,,
Buff-武器-精5德玛拉电池II型-能量获得效率,,,,,,,,,,15,,,,,,
Buff-武器-精1硫磺石,,,,,,,,,,7,,,,,,
Buff-武器-精2硫磺石,,,,,,,,,,7,,,,,,
Buff-武器-精3硫磺石,,,,,,,,,,7,,,,,,
Buff-武器-精4硫磺石,,,,,,,,,,7,,,,,,
Buff-武器-精5硫磺石,,,,,,,,,,7,,,,,,
Buff-角色-苍角-额外能力,,,,,,,,,,,,,,,,
Buff-青衣-核心被动-失衡易伤,,,,,,,,,,,,,,,,
Buff-青衣-额外能力-失衡效率,,,,,,,,,,,,,,,,
Buff-青衣-额外能力-冲击转攻击,,,,,,,,,,,,,,,,
Buff-角色-11号-核心被动,,,,,,,,,,,,,,,,
Buff-角色-11号-组队被动-常驻,,,,,,,,,,,,,,,,
Buff-角色-11号-组队被动-失衡,,,,,,,,,,,,,,,,
Buff-角色-雅-终结技-冰伤,,,,,,,,,,6,,,,,,
Buff-角色-雅-核心被动-冰焰,,,,,,,,5,,,,,,,,
Buff-角色-雅-核心被动-霜灼,,,,,,,,,,,,,,,,
Buff-角色-雅-组队被动-普攻增伤,1091_SNA_1|1091_SNA_2|1091_SNA_3,,,,,,,,,,,,,,,
Buff-角色-雅-组队被动-无视冰抗,,,,,,,,,,,,,,,,
Buff-角色-露西-特殊技-攻击力,,,,,,,,,,,,,,,,
Buff-角色-露西-长按特殊技-攻击力,,,,,,,,,,,,,,,,
Buff-角色-露西-连携技-攻击力,,,,,,,,,,,,,,,,
Buff-角色-露西-终结技-攻击力,,,,,,,,,,,,,,,,
Buff-角色-派派-组队被动-积蓄效率,,,,,,,,,,,,,,,,
Buff-角色-派派-组队被动-全队增伤,,,,,,,,,,,,,,,,
Buff-角色-柏妮思-组队被动-延长灼烧,,,,,,,,,,,,,,,,
Buff-角色-丽娜-核心被动-穿透率,,,,,,,,,,,,,,,,
Buff-角色-丽娜-组队被动-增伤,,,,,,,,,,,,,,,,
Buff-角色-丽娜-组队被动-延长感电,,,,,,,,,,,,,,,,
Buff-音擎-精1霰落星殿-暴伤,,,,,,,,,,,,,,,,
Buff-音擎-精2霰落星殿-暴伤,,,,,,,,,,,,,,,,
Buff-音擎-精3霰落星殿-暴伤,,,,,,,,,,,,,,,,
Buff-音擎-精4霰落星殿-暴伤,,,,,,,,,,,,,,,,
Buff-音擎-精5霰落星殿-暴伤,,,,,,,,,,,,,,,,
Buff-音擎-精1霰落星殿-叠层冰伤,,,,,,,,,,,,,,,,
Buff-音擎-精2霰落星殿-叠层冰伤,,,,,,,,,,,,,,,,
Buff-音擎-精3霰落星殿-叠层冰伤,,,,,,,,,,,,,,,,
Buff-音擎-精4霰落星殿-叠层冰伤,,,,,,,,,,,,,,,,
Buff-音擎-精5霰落星殿-叠层冰伤,,,,,,,,,,,,,,,,
Buff-驱动盘-折枝剑歌-暴伤,,,,,,,,,,,,,,,,
Buff-驱动盘-折枝剑歌-暴击率,,,,,,,,,,,,,,,,
Buff-异常-烈霜霜寒,,,,,,,,,,,,,,,,
