名称,key1,value1,key2,value2,key3,value3,key4,value4
Buff-武器-精3燃狱齿轮-叠层冲击力,局内冲击力%,0.15,,,,,,
Buff-武器-精4燃狱齿轮-叠层冲击力,局内冲击力%,0.175,,,,,,
Buff-武器-精5燃狱齿轮-叠层冲击力,局内冲击力%,0.2,,,,,,
Buff-武器-精1拘缚者,普攻失衡值增加,0.06,普攻增伤,0.06,,,,
Buff-武器-精2拘缚者,普攻失衡值增加,0.075,普攻增伤,0.075,,,,
Buff-武器-精3拘缚者,普攻失衡值增加,0.09,普攻增伤,0.09,,,,
Buff-武器-精4拘缚者,普攻失衡值增加,0.105,普攻增伤,0.105,,,,
Buff-武器-精5拘缚者,普攻失衡值增加,0.12,普攻增伤,0.12,,,,
Buff-武器-精1焰心桂冠-冲击力提升,局内冲击力%,0.25,,,,,,
Buff-武器-精2焰心桂冠-冲击力提升,局内冲击力%,0.2875,,,,,,
Buff-武器-精3焰心桂冠-冲击力提升,局内冲击力%,0.325,,,,,,
Buff-武器-精4焰心桂冠-冲击力提升,局内冲击力%,0.3625,,,,,,
Buff-武器-精5焰心桂冠-冲击力提升,局内冲击力%,0.4,,,,,,
Buff-武器-精1焰心桂冠-受暴伤提升,受暴击伤害增加,0.015,,,,,,
Buff-武器-精2焰心桂冠-受暴伤提升,受暴击伤害增加,0.0172,,,,,,
Buff-武器-精3焰心桂冠-受暴伤提升,受暴击伤害增加,0.0195,,,,,,
Buff-武器-精4焰心桂冠-受暴伤提升,受暴击伤害增加,0.0217,,,,,,
Buff-武器-精5焰心桂冠-受暴伤提升,受暴击伤害增加,0.024,,,,,,
Buff-武器-精1玉壶青冰-普攻加冲击,局内冲击力%,0.007,,,,,,
Buff-武器-精2玉壶青冰-普攻加冲击,局内冲击力%,0.0088,,,,,,
Buff-武器-精3玉壶青冰-普攻加冲击,局内冲击力%,0.0105,,,,,,
Buff-武器-精4玉壶青冰-普攻加冲击,局内冲击力%,0.0122,,,,,,
Buff-武器-精5玉壶青冰-普攻加冲击,局内冲击力%,0.014,,,,,,
Buff-武器-精1玉壶青冰-15层后增伤,全增伤,0.2,,,,,,
Buff-武器-精2玉壶青冰-15层后增伤,全增伤,0.23,,,,,,
Buff-武器-精3玉壶青冰-15层后增伤,全增伤,0.26,,,,,,
Buff-武器-精4玉壶青冰-15层后增伤,全增伤,0.29,,,,,,
Buff-武器-精5玉壶青冰-15层后增伤,全增伤,0.32,,,,,,
Buff-武器-精1贵重骨核-75%以上,失衡增幅,0.1,,,,,,
Buff-武器-精2贵重骨核-75%以上,失衡增幅,0.115,,,,,,
Buff-武器-精3贵重骨核-75%以上,失衡增幅,0.13,,,,,,
Buff-武器-精4贵重骨核-75%以上,失衡增幅,0.145,,,,,,
Buff-武器-精5贵重骨核-75%以上,失衡增幅,0.16,,,,,,
Buff-武器-精1贵重骨核-50%以上,失衡增幅,0.1,,,,,,
Buff-武器-精2贵重骨核-50%以上,失衡增幅,0.115,,,,,,
Buff-武器-精3贵重骨核-50%以上,失衡增幅,0.13,,,,,,
Buff-武器-精4贵重骨核-50%以上,失衡增幅,0.145,,,,,,
Buff-武器-精5贵重骨核-50%以上,失衡增幅,0.16,,,,,,
Buff-武器-精1人为刀俎,局内冲击力%,0.02,,,,,,
Buff-武器-精2人为刀俎,局内冲击力%,0.023,,,,,,
Buff-武器-精3人为刀俎,局内冲击力%,0.026,,,,,,
Buff-武器-精4人为刀俎,局内冲击力%,0.029,,,,,,
Buff-武器-精5人为刀俎,局内冲击力%,0.032,,,,,,
Buff-武器-精1德玛拉电池II型-电伤,电属性伤害,0.15,,,,,,
Buff-武器-精2德玛拉电池II型-电伤,电属性伤害,0.175,,,,,,
Buff-武器-精3德玛拉电池II型-电伤,电属性伤害,0.2,,,,,,
Buff-武器-精4德玛拉电池II型-电伤,电属性伤害,0.22,,,,,,
Buff-武器-精5德玛拉电池II型-电伤,电属性伤害,0.24,,,,,,
Buff-武器-精1德玛拉电池II型-能量获得效率,能量获得效率,0.18,,,,,,
Buff-武器-精2德玛拉电池II型-能量获得效率,能量获得效率,0.205,,,,,,
Buff-武器-精3德玛拉电池II型-能量获得效率,能量获得效率,0.23,,,,,,
Buff-武器-精4德玛拉电池II型-能量获得效率,能量获得效率,0.255,,,,,,
Buff-武器-精5德玛拉电池II型-能量获得效率,能量获得效率,0.28,,,,,,
Buff-武器-精1硫磺石,局内攻击力%,0.035,,,,,,
Buff-武器-精2硫磺石,局内攻击力%,0.044,,,,,,
Buff-武器-精3硫磺石,局内攻击力%,0.052,,,,,,
Buff-武器-精4硫磺石,局内攻击力%,0.06,,,,,,
Buff-武器-精5硫磺石,局内攻击力%,0.07,,,,,,
Buff-角色-苍角-额外能力,冰属性伤害,0.25,,,,,,
Buff-青衣-核心被动-失衡易伤,失衡易伤增加,0.04,,,,,,
Buff-青衣-额外能力-失衡效率,普攻失衡值增加,0.2,,,,,,
Buff-青衣-额外能力-冲击转攻击,固定攻击力,6,,,,,,
Buff-角色-11号-核心被动,普攻增伤,0.7,,,,,,
Buff-角色-11号-组队被动-常驻,火属性伤害,0.1,,,,,,
Buff-角色-11号-组队被动-失衡,火属性伤害,0.225,,,,,,
Buff-角色-雅-终结技-冰伤,冰属性伤害,0.3,,,,,,
Buff-角色-雅-核心被动-冰焰,烈霜积蓄效率增加,0.01,,,,,,
Buff-角色-雅-核心被动-霜灼,全积蓄效率增加,0.2,,,,,,
Buff-音擎-精1霰落星殿-暴伤,固定暴击伤害,0.5,,,,,,
Buff-音擎-精2霰落星殿-暴伤,固定暴击伤害,0.57,,,,,,
Buff-音擎-精3霰落星殿-暴伤,固定暴击伤害,0.65,,,,,,
Buff-音擎-精4霰落星殿-暴伤,固定暴击伤害,0.72,,,,,,
Buff-音擎-精5霰落星殿-暴伤,固定暴击伤害,0.8,,,,,,
Buff-音擎-精1霰落星殿-叠层冰伤,冰属性伤害,0.2,,,,,,
Buff-音擎-精2霰落星殿-叠层冰伤,冰属性伤害,0.23,,,,,,
Buff-音擎-精3霰落星殿-叠层冰伤,冰属性伤害,0.26,,,,,,
Buff-音擎-精4霰落星殿-叠层冰伤,冰属性伤害,0.29,,,,,,
Buff-音擎-精5霰落星殿-叠层冰伤,冰属性伤害,0.32,,,,,,
Buff-驱动盘-折枝剑歌-暴伤,固定暴击伤害,0.3,,,,,,
Buff-驱动盘-折枝剑歌-暴击率,固定暴击率,0.12,,,,,,
