BuffName,id,OfficialName,From,SpConsumption,SpRecovery_hit,Sp_Threshold,FeverRecovery,ElementAbnormalAccumulation,SkillType,TriggerBuffLevel,ElementType,TimeCost,HitNumber,DmgRelated_Attributes,StunRelated_Attributes,Interruption_Resistance
Buff-角色-莱卡恩-核心被动-失衡值提升,1141_SNA_1|1141_SNA_2|1141_SNA_3|1141_SNA_4|1141_SNA_5_FC|1141_SNA_5_NFC,,,,,,,,,,,,,,,
Buff-角色-莱卡恩-核心被动-减冰抗,,,,,,,,,,2|9,,,,,,
Buff-角色-莱卡恩-额外能力-失衡易伤倍率,,,,,,,,,,,,,,,,
Buff-异常-霜寒,,,,,,,,,,,,,,,,
Buff-异常-畏缩,,,,,,,,,,,,,,,,
Buff-角色-苍角-核心被动-1,1131_E_EX_A,,,,,,,,,,,,,,,
Buff-角色-苍角-核心被动-2,,,,,,,,,,,,,,,,
Buff-武器-精1含羞恶面-冰伤,,,,,,,,,,,,,,,,
Buff-武器-精2含羞恶面-冰伤,,,,,,,,,,,,,,,,
Buff-武器-精3含羞恶面-冰伤,,,,,,,,,,,,,,,,
Buff-武器-精4含羞恶面-冰伤,,,,,,,,,,,,,,,,
Buff-武器-精5含羞恶面-冰伤,,,,,,,,,,,,,,,,
Buff-武器-精1含羞恶面-叠层攻击力,,,,,,,,,,2,,,,,,
Buff-武器-精2含羞恶面-叠层攻击力,,,,,,,,,,2,,,,,,
Buff-武器-精3含羞恶面-叠层攻击力,,,,,,,,,,2,,,,,,
Buff-武器-精4含羞恶面-叠层攻击力,,,,,,,,,,2,,,,,,
Buff-武器-精5含羞恶面-叠层攻击力,,,,,,,,,,2,,,,,,
Buff-武器-精1燃狱齿轮-后台能量自动回复,,,,,,,,,,,,,,,,
Buff-武器-精2燃狱齿轮-后台能量自动回复,,,,,,,,,,,,,,,,
Buff-武器-精3燃狱齿轮-后台能量自动回复,,,,,,,,,,,,,,,,
Buff-武器-精4燃狱齿轮-后台能量自动回复,,,,,,,,,,,,,,,,
Buff-武器-精5燃狱齿轮-后台能量自动回复,,,,,,,,,,,,,,,,
Buff-武器-精1燃狱齿轮-叠层冲击力,,,,,,,,,,2,,,,,,
Buff-武器-精2燃狱齿轮-叠层冲击力,,,,,,,,,,2,,,,,,
Buff-武器-精3燃狱齿轮-叠层冲击力,,,,,,,,,,2,,,,,,
Buff-武器-精4燃狱齿轮-叠层冲击力,,,,,,,,,,2,,,,,,
Buff-武器-精5燃狱齿轮-叠层冲击力,,,,,,,,,,2,,,,,,
Buff-武器-精1拘缚者,,,,,,,,,,,0|1|2|3|4|5,,,,,
Buff-武器-精2拘缚者,,,,,,,,,,,0|1|2|3|4|5,,,,,
Buff-武器-精3拘缚者,,,,,,,,,,,0|1|2|3|4|5,,,,,
Buff-武器-精4拘缚者,,,,,,,,,,,0|1|2|3|4|5,,,,,
Buff-武器-精5拘缚者,,,,,,,,,,,0|1|2|3|4|5,,,,,
Buff-武器-精1焰心桂冠-冲击力提升,,,,,,,,,,7|9,,,,,,
Buff-武器-精2焰心桂冠-冲击力提升,,,,,,,,,,7|9,,,,,,
Buff-武器-精3焰心桂冠-冲击力提升,,,,,,,,,,7|9,,,,,,
Buff-武器-精4焰心桂冠-冲击力提升,,,,,,,,,,7|9,,,,,,
Buff-武器-精5焰心桂冠-冲击力提升,,,,,,,,,,7|9,,,,,,
Buff-武器-精1焰心桂冠-受暴伤提升,,,,,,,,,,,0|1|2|3|4|5,,,,,
Buff-武器-精2焰心桂冠-受暴伤提升,,,,,,,,,,,0|1|2|3|4|5,,,,,
Buff-武器-精3焰心桂冠-受暴伤提升,,,,,,,,,,,0|1|2|3|4|5,,,,,
Buff-武器-精4焰心桂冠-受暴伤提升,,,,,,,,,,,0|1|2|3|4|5,,,,,
Buff-武器-精5焰心桂冠-受暴伤提升,,,,,,,,,,,0|1|2|3|4|5,,,,,
Buff-武器-精1玉壶青冰-普攻加冲击,,,,,,,,,,0,,,,,,
Buff-武器-精2玉壶青冰-普攻加冲击,,,,,,,,,,0,,,,,,
Buff-武器-精3玉壶青冰-普攻加冲击,,,,,,,,,,0,,,,,,
Buff-武器-精4玉壶青冰-普攻加冲击,,,,,,,,,,0,,,,,,
Buff-武器-精5玉壶青冰-普攻加冲击,,,,,,,,,,0,,,,,,
Buff-武器-精1玉壶青冰-15层后增伤,,,,,,,,,,0,,,,,,
Buff-武器-精2玉壶青冰-15层后增伤,,,,,,,,,,0,,,,,,
Buff-武器-精3玉壶青冰-15层后增伤,,,,,,,,,,0,,,,,,
Buff-武器-精4玉壶青冰-15层后增伤,,,,,,,,,,0,,,,,,
Buff-武器-精5玉壶青冰-15层后增伤,,,,,,,,,,0,,,,,,
Buff-武器-精1贵重骨核-75%以上,,,,,,,,,,,,,,,,
Buff-武器-精2贵重骨核-75%以上,,,,,,,,,,,,,,,,
Buff-武器-精3贵重骨核-75%以上,,,,,,,,,,,,,,,,
Buff-武器-精4贵重骨核-75%以上,,,,,,,,,,,,,,,,
Buff-武器-精5贵重骨核-75%以上,,,,,,,,,,,,,,,,
Buff-武器-精1贵重骨核-50%以上,,,,,,,,,,,,,,,,
Buff-武器-精2贵重骨核-50%以上,,,,,,,,,,,,,,,,
Buff-武器-精3贵重骨核-50%以上,,,,,,,,,,,,,,,,
Buff-武器-精4贵重骨核-50%以上,,,,,,,,,,,,,,,,
Buff-武器-精5贵重骨核-50%以上,,,,,,,,,,,,,,,,
Buff-武器-精1人为刀俎,,,,,,,,,,,,,,,,
Buff-武器-精2人为刀俎,,,,,,,,,,,,,,,,
Buff-武器-精3人为刀俎,,,,,,,,,,,,,,,,
Buff-武器-精4人为刀俎,,,,,,,,,,,,,,,,
Buff-武器-精5人为刀俎,,,,,,,,,,,,,,,,
Buff-武器-精1德玛拉电池II型-电伤,,,,,,,,,,,,,,,,
Buff-武器-精2德玛拉电池II型-电伤,,,,,,,,,,,,,,,,
Buff-武器-精3德玛拉电池II型-电伤,,,,,,,,,,,,,,,,
Buff-武器-精4德玛拉电池II型-电伤,,,,,,,,,,,,,,,,
Buff-武器-精5德玛拉电池II型-电伤,,,,,,,,,,,,,,,,
Buff-武器-精1德玛拉电池II型-能量获得效率,,,,,,,,,,4|7|8|9,,,,,,
Buff-武器-精2德玛拉电池II型-能量获得效率,,,,,,,,,,4|7|8|9,,,,,,
Buff-武器-精3德玛拉电池II型-能量获得效率,,,,,,,,,,4|7|8|9,,,,,,
Buff-武器-精4德玛拉电池II型-能量获得效率,,,,,,,,,,4|7|8|9,,,,,,
Buff-武器-精5德玛拉电池II型-能量获得效率,,,,,,,,,,4|7|8|9,,,,,,
Buff-武器-精1硫磺石,,,,,,,,,,0|3|4,,,,,,
Buff-武器-精2硫磺石,,,,,,,,,,0|3|4,,,,,,
Buff-武器-精3硫磺石,,,,,,,,,,0|3|4,,,,,,
Buff-武器-精4硫磺石,,,,,,,,,,0|3|4,,,,,,
Buff-武器-精5硫磺石,,,,,,,,,,0|3|4,,,,,,
Buff-角色-苍角-额外能力,,,,,,,,,,,,,,,,
Buff-角色-青衣-核心被动-失衡易伤,1300_SNA_1|1300_SNA_2,,,,,,,,,,,,,,,
Buff-角色-青衣-额外能力-失衡效率,,,,,,,,,,0,,,,,,
Buff-角色-青衣-额外能力-冲击转攻击,,,,,,,,,,,0|1|2|3|4|5,,,,,
Buff-角色-11号-核心被动,,,,,,,,,,0|3,1,,,,,
Buff-角色-11号-组队被动-常驻,,,,,,,,,,,,,,,,
Buff-角色-11号-组队被动-失衡,,,,,,,,,,,,,,,,
Buff-角色-雅-终结技-冰伤,,,,,,,,,,6,,,,,,
Buff-角色-雅-核心被动-冰焰,,,,,,,,5,,,,,,,,
Buff-角色-雅-核心被动-霜灼,,,,,,,,,,,,,,,,
Buff-角色-雅-组队被动-普攻增伤,1091_SNA_1|1091_SNA_2|1091_SNA_3,,,,,,,,,,,,,,,
Buff-角色-雅-组队被动-无视冰抗,,,,,,,,,,,,,,,,
Buff-角色-露西-特殊技-攻击力,,,,,,,,,,,,,,,,
Buff-角色-露西-长按特殊技-攻击力,,,,,,,,,,,,,,,,
Buff-角色-露西-连携技-攻击力,,,,,,,,,,,,,,,,
Buff-角色-露西-终结技-攻击力,,,,,,,,,,,,,,,,
Buff-角色-派派-组队被动-积蓄效率,,,,,,,,,,,,,,,,
Buff-角色-派派-组队被动-全队增伤,,,,,,,,,,,,,,,,
Buff-角色-柏妮思-组队被动-延长灼烧,,,,,,,,,,,,,,,,
Buff-角色-丽娜-核心被动-穿透率,,,,,,,,,,,,,,,,
Buff-角色-丽娜-组队被动-增伤,,,,,,,,,,,,,,,,
Buff-角色-丽娜-组队被动-延长感电,,,,,,,,,,,,,,,,
Buff-音擎-精1霰落星殿-暴伤,,,,,,,,,,,,,,,,
Buff-音擎-精2霰落星殿-暴伤,,,,,,,,,,,,,,,,
Buff-音擎-精3霰落星殿-暴伤,,,,,,,,,,,,,,,,
Buff-音擎-精4霰落星殿-暴伤,,,,,,,,,,,,,,,,
Buff-音擎-精5霰落星殿-暴伤,,,,,,,,,,,,,,,,
Buff-音擎-精1霰落星殿-叠层冰伤,,,,,,,,,,,,,,,,
Buff-音擎-精2霰落星殿-叠层冰伤,,,,,,,,,,,,,,,,
Buff-音擎-精3霰落星殿-叠层冰伤,,,,,,,,,,,,,,,,
Buff-音擎-精4霰落星殿-叠层冰伤,,,,,,,,,,,,,,,,
Buff-音擎-精5霰落星殿-叠层冰伤,,,,,,,,,,,,,,,,
Buff-驱动盘-折枝剑歌-暴伤,,,,,,,,,,,,,,,,
Buff-驱动盘-折枝剑歌-暴击率,,,,,,,,,,,,,,,,
Buff-异常-烈霜霜寒,,,,,,,,,,,,,,,,
Buff-角色-青衣-核心被动-额外电压补偿,,,,,,,,,,,,,,,,
Buff-驱动盘-自由蓝调-物理,,,,,,,,,,,,,,,,
Buff-驱动盘-自由蓝调-火,,,,,,,,,,,,,,,,
Buff-驱动盘-自由蓝调-冰,,,,,,,,,,,,,,,,
Buff-驱动盘-自由蓝调-电,,,,,,,,,,,,,,,,
Buff-驱动盘-自由蓝调-以太,,,,,,,,,,,,,,,,
Buff-驱动盘-自由蓝调-烈霜,,,,,,,,,,,,,,,,
Buff-驱动盘-河豚电音-终结技伤害提升,,,,,,,,,,,,,,,,
Buff-驱动盘-河豚电音-攻击力提升,,,,,,,,,,6,,,,,,
Buff-驱动盘-静听嘉音-嘉音,,,,,,,,,,7,,,,,,
Buff-驱动盘-静听嘉音-增伤,,,,,,,,,,,,,,,,
Buff-驱动盘-摇摆爵士-全队增伤,,,,,,,,,,,,,,,,
Buff-驱动盘-激素朋克-全局攻击力,,,,,,,,,,,,,,,,
Buff-驱动盘-混沌爵士-火电伤,,,,,,,,,,,,,,,,
Buff-驱动盘-混沌爵士-前台增伤,,,,,,,,,,,,,,,,
Buff-驱动盘-原始朋克-全队增伤,,,,,,,,,,,,,,,,
Buff-驱动盘-獠牙重金属-增伤,,,,,,,,,,,,,,,,
Buff-武器-精1啜泣摇篮-后台回能,,,,,,,,,,,,,,,,
Buff-武器-精1啜泣摇篮-全队增伤,,,,,,,,,,,0|1|2|3|4|5,,,,,
Buff-武器-精1啜泣摇篮-全队增伤自增长,,,,,,,,,,,,,,,,
Buff-武器-精2啜泣摇篮-后台回能,,,,,,,,,,,,,,,,
Buff-武器-精2啜泣摇篮-全队增伤,,,,,,,,,,,0|1|2|3|4|5,,,,,
Buff-武器-精2啜泣摇篮-全队增伤自增长,,,,,,,,,,,,,,,,
Buff-武器-精3啜泣摇篮-后台回能,,,,,,,,,,,,,,,,
Buff-武器-精3啜泣摇篮-全队增伤,,,,,,,,,,,0|1|2|3|4|5,,,,,
Buff-武器-精3啜泣摇篮-全队增伤自增长,,,,,,,,,,,,,,,,
Buff-武器-精4啜泣摇篮-后台回能,,,,,,,,,,,,,,,,
Buff-武器-精4啜泣摇篮-全队增伤,,,,,,,,,,,0|1|2|3|4|5,,,,,
Buff-武器-精4啜泣摇篮-全队增伤自增长,,,,,,,,,,,,,,,,
Buff-武器-精5啜泣摇篮-后台回能,,,,,,,,,,,,,,,,
Buff-武器-精5啜泣摇篮-全队增伤,,,,,,,,,,,0|1|2|3|4|5,,,,,
Buff-武器-精5啜泣摇篮-全队增伤自增长,,,,,,,,,,,,,,,,
Buff-武器-精1时光切片-回能回喧响,,,,,,,,,,,,,,,,
Buff-武器-精2时光切片-回能回喧响,,,,,,,,,,,,,,,,
Buff-武器-精3时光切片-回能回喧响,,,,,,,,,,,,,,,,
Buff-武器-精4时光切片-回能回喧响,,,,,,,,,,,,,,,,
Buff-武器-精5时光切片-回能回喧响,,,,,,,,,,,,,,,,
Buff-武器-精1聚宝箱-回能,,,,,,,,,,2|5|6,4,,,,,
Buff-武器-精1聚宝箱-全队增伤,,,,,,,,,,2|5|6,4,,,,,
Buff-武器-精2聚宝箱-回能,,,,,,,,,,2|5|6,4,,,,,
Buff-武器-精2聚宝箱-全队增伤,,,,,,,,,,2|5|6,4,,,,,
Buff-武器-精3聚宝箱-回能,,,,,,,,,,2|5|6,4,,,,,
Buff-武器-精3聚宝箱-全队增伤,,,,,,,,,,2|5|6,4,,,,,
Buff-武器-精4聚宝箱-回能,,,,,,,,,,2|5|6,4,,,,,
Buff-武器-精4聚宝箱-全队增伤,,,,,,,,,,2|5|6,4,,,,,
Buff-武器-精5聚宝箱-回能,,,,,,,,,,2|5|6,4,,,,,
Buff-武器-精5聚宝箱-全队增伤,,,,,,,,,,2|5|6,4,,,,,
Buff-武器-精1好斗的阿炮-全局攻击力,,,,,,,,,,,0|1|2|3|4|5,,,,,
Buff-武器-精2好斗的阿炮-全局攻击力,,,,,,,,,,,0|1|2|3|4|5,,,,,
Buff-武器-精3好斗的阿炮-全局攻击力,,,,,,,,,,,0|1|2|3|4|5,,,,,
Buff-武器-精4好斗的阿炮-全局攻击力,,,,,,,,,,,0|1|2|3|4|5,,,,,
Buff-武器-精5好斗的阿炮-全局攻击力,,,,,,,,,,,0|1|2|3|4|5,,,,,
Buff-武器-精1逍遥游球-全队暴击率,,,,,,,,,,,,,,,,
Buff-武器-精2逍遥游球-全队暴击率,,,,,,,,,,,,,,,,
Buff-武器-精3逍遥游球-全队暴击率,,,,,,,,,,,,,,,,
Buff-武器-精4逍遥游球-全队暴击率,,,,,,,,,,,,,,,,
Buff-武器-精5逍遥游球-全队暴击率,,,,,,,,,,,,,,,,
Buff-武器-精1残响Ⅰ型-全队冲击力,,,,,,,,,,2,,,,,,
Buff-武器-精2残响Ⅰ型-全队冲击力,,,,,,,,,,2,,,,,,
Buff-武器-精3残响Ⅰ型-全队冲击力,,,,,,,,,,2,,,,,,
Buff-武器-精4残响Ⅰ型-全队冲击力,,,,,,,,,,2,,,,,,
Buff-武器-精5残响Ⅰ型-全队冲击力,,,,,,,,,,2,,,,,,
Buff-武器-精1残响II型-全队掌控精通,,,,,,,,,,2|5,,,,,,
Buff-武器-精2残响II型-全队掌控精通,,,,,,,,,,2|5,,,,,,
Buff-武器-精3残响II型-全队掌控精通,,,,,,,,,,2|5,,,,,,
Buff-武器-精4残响II型-全队掌控精通,,,,,,,,,,2|5,,,,,,
Buff-武器-精5残响II型-全队掌控精通,,,,,,,,,,2|5,,,,,,
Buff-武器-精1残响III型-全队攻击力,,,,,,,,,,5|6,,,,,,
Buff-武器-精2残响III型-全队攻击力,,,,,,,,,,5|6,,,,,,
Buff-武器-精3残响III型-全队攻击力,,,,,,,,,,5|6,,,,,,
Buff-武器-精4残响III型-全队攻击力,,,,,,,,,,5|6,,,,,,
Buff-武器-精5残响III型-全队攻击力,,,,,,,,,,5|6,,,,,,
Buff-角色-妮可-核心被动-减防,,,,,,,,,,,,,,,,
Buff-角色-妮可-组队被动以太-增伤,,,,,,,,,,,,,,,,
Buff-角色-凯撒-大招-命中护盾增加失衡值,,,,,,,,,,,,,,,,
Buff-角色-凯撒-核心被动-攻击力,,,,,,,,,,,,,,,,
Buff-角色-凯撒-组队被动-增伤,6121_E_A|6121_E_B|6121_E_EX_A|6121_E_EX_B|6121_SNA,,,,,,,,,,,,,,,
Buff-角色-耀佳音-唱歌,,,,,,,,,,,,,,,,
Buff-角色-耀佳音-核心被动-攻击力,,,,,,,,,,,,,,,,
Buff-角色-耀佳音-组队被动-触发器,,,,,,,,,,,,,,,,
Buff-角色-柏妮思-核心被动-燃油特调触发器,,,,,,,,,,,,,,,,
Buff-角色-柏妮思-核心被动-余烬增伤,,,,,,,,,,,,,,,,
Buff-角色-柏妮思-影画2-热意洞穿,,,,,,,,,,,,,,,,
Buff-角色-柏妮思-影画4-招式暴击率,,,,,,,,,,2|9,,,,,,
Buff-武器-精1灼心摇壶-回能,,,,,,,,,,,,,,,,
Buff-武器-精1灼心摇壶-增伤,,,,,,,,,,,,,,,,
Buff-武器-精1灼心摇壶-精通,,,,,,,,,,,,,,,,
Buff-武器-精2灼心摇壶-回能,,,,,,,,,,,,,,,,
Buff-武器-精2灼心摇壶-增伤,,,,,,,,,,,,,,,,
Buff-武器-精2灼心摇壶-精通,,,,,,,,,,,,,,,,
Buff-武器-精3灼心摇壶-回能,,,,,,,,,,,,,,,,
Buff-武器-精3灼心摇壶-增伤,,,,,,,,,,,,,,,,
Buff-武器-精3灼心摇壶-精通,,,,,,,,,,,,,,,,
Buff-武器-精4灼心摇壶-回能,,,,,,,,,,,,,,,,
Buff-武器-精4灼心摇壶-增伤,,,,,,,,,,,,,,,,
Buff-武器-精4灼心摇壶-精通,,,,,,,,,,,,,,,,
Buff-武器-精5灼心摇壶-回能,,,,,,,,,,,,,,,,
Buff-武器-精5灼心摇壶-增伤,,,,,,,,,,,,,,,,
Buff-武器-精5灼心摇壶-精通,,,,,,,,,,,,,,,,
Buff-角色-格莉丝-核心被动-电能,,,,,,,,,,,,,,,,
Buff-角色-格莉丝-组队被动-感电伤害,,,,,,,,,,,,,,,,
Buff-角色-格莉丝-影画2-双抗降低,,,,,,,,,,,,,,,,
Buff-武器-精1嵌合编译器-攻击力,,,,,,,,,,,,,,,,
Buff-武器-精1嵌合编译器-精通,,,,,,,,,,1|2,,,,,,
Buff-武器-精2嵌合编译器-攻击力,,,,,,,,,,,,,,,,
Buff-武器-精2嵌合编译器-精通,,,,,,,,,,1|2,,,,,,
Buff-武器-精3嵌合编译器-攻击力,,,,,,,,,,,,,,,,
Buff-武器-精3嵌合编译器-精通,,,,,,,,,,1|2,,,,,,
Buff-武器-精4嵌合编译器-攻击力,,,,,,,,,,,,,,,,
Buff-武器-精4嵌合编译器-精通,,,,,,,,,,1|2,,,,,,
Buff-武器-精5嵌合编译器-攻击力,,,,,,,,,,,,,,,,
Buff-武器-精5嵌合编译器-精通,,,,,,,,,,1|2,,,,,,
Buff-武器-精1防爆者Ⅵ型-暴击率,,,,,,,,,,,,,,,,
Buff-武器-精2防爆者Ⅵ型-暴击率,,,,,,,,,,,,,,,,
Buff-武器-精3防爆者Ⅵ型-暴击率,,,,,,,,,,,,,,,,
Buff-武器-精4防爆者Ⅵ型-暴击率,,,,,,,,,,,,,,,,
Buff-武器-精5防爆者Ⅵ型-暴击率,,,,,,,,,,,,,,,,
Buff-武器-精1防爆者Ⅵ型-普攻增伤,1241_SNA_1_A|1241_SNA_1_A_α|1241_SNA_1_A_β|1241_SNA_2_A|1241_SNA_3_A|1241_SNA_4_A|1241_SNA_5_A|1241_NA_5,,,,,,,,,,,,,,,
Buff-武器-精2防爆者Ⅵ型-普攻增伤,1241_SNA_1_A|1241_SNA_1_A_α|1241_SNA_1_A_β|1241_SNA_2_A|1241_SNA_3_A|1241_SNA_4_A|1241_SNA_5_A|1241_NA_6,,,,,,,,,,,,,,,
Buff-武器-精3防爆者Ⅵ型-普攻增伤,1241_SNA_1_A|1241_SNA_1_A_α|1241_SNA_1_A_β|1241_SNA_2_A|1241_SNA_3_A|1241_SNA_4_A|1241_SNA_5_A|1241_NA_7,,,,,,,,,,,,,,,
Buff-武器-精4防爆者Ⅵ型-普攻增伤,1241_SNA_1_A|1241_SNA_1_A_α|1241_SNA_1_A_β|1241_SNA_2_A|1241_SNA_3_A|1241_SNA_4_A|1241_SNA_5_A|1241_NA_8,,,,,,,,,,,,,,,
Buff-武器-精5防爆者Ⅵ型-普攻增伤,1241_SNA_1_A|1241_SNA_1_A_α|1241_SNA_1_A_β|1241_SNA_2_A|1241_SNA_3_A|1241_SNA_4_A|1241_SNA_5_A|1241_NA_9,,,,,,,,,,,,,,,
Buff-角色-朱鸢-核心被动-强化普攻增伤,"
1241_SRA_F_ET|1241_SRA_B_ET|1241_SRA_S_ET|1241_SNA_1_A|1241_SNA_1_A_α|1241_SNA_1_A_β|1241_SNA_2_A|1241_SNA_3_A|1241_SNA_4_A|1241_SNA_10_A",,,,,,,,,,,,,,,
Buff-角色-朱鸢-核心被动-失衡普攻增伤,,,,,,,,,,,,,,,,
Buff-角色-朱鸢-额外能力-暴击率,,,,,,,,,,2|5|6,,,,,,
Buff-角色-朱鸢-2画-强化普攻增伤,"
1241_SRA_F_ET|1241_SRA_B_ET|1241_SRA_S_ET|1241_SNA_1_A|1241_SNA_1_A_α|1241_SNA_1_A_β|1241_SNA_2_A|1241_SNA_3_A|1241_SNA_4_A|1241_SNA_10_A",,,,,,,,,,,,,,,
Buff-角色-朱鸢-4画-无视以太抗,"
1241_SRA_F_ET|1241_SRA_B_ET|1241_SRA_S_ET|1241_SNA_1_A|1241_SNA_1_A_α|1241_SNA_1_A_β|1241_SNA_2_A|1241_SNA_3_A|1241_SNA_4_A|1241_SNA_10_A",,,,,,,,,,,,,,,
Buff-角色-朱鸢-6画-降低能耗,,,,,,,,,,,,,,,,
Buff-角色-格丽斯-4画-能量获取效率,,,,,,,,,,,,,,,,
Buff-角色-格丽斯-6画-特殊技增伤,,,,,,,,,,,,,,,,
Buff-角色-伊芙琳-核心被动-暴击率提升,,,,,,,,,,,,,,,,
Buff-角色-伊芙琳-组队被动-连携技大招增伤,,,,,,,,,,5|6,,,,,,
Buff-角色-伊芙琳-组队被动-连携技大招倍率增加,,,,,,,,,,,,,,,,
Buff-角色-伊芙琳-1画-无视防御力,,,,,,,,,,,,,,,,
Buff-角色-伊芙琳-1画-无视防御力扩散,1321_E_2|1321_E_EX|1321_E_EX_A,,,,,,,,,,,,,,,
Buff-角色-伊芙琳-1画-禁锢触发器,,,,,,,,,,,,,,,,
Buff-角色-伊芙琳-2画-局内大攻击,,,,,,,,,,,,,,,,
Buff-角色-伊芙琳-2画-返还撩火触发器,1321_SNA_1|1321_SNA_2,,,,,,,,,,,,,,,
Buff-角色-伊芙琳-2画-连携技打断等级提升,,,,,,,,,,,,,,,,
Buff-角色-伊芙琳-4画-护盾给暴伤,,,,,,,,,,,,,,,,
Buff-角色-伊芙琳-4画-护盾,,,,,,,,,,5|6,,,,,,
Buff-角色-伊芙琳-6画-额外追击触发器,,,,,,,,,,5|6,,,,,,
Buff-武器-精1心弦夜响-暴伤,,,,,,,,,,,,,,,,
Buff-武器-精2心弦夜响-暴伤,,,,,,,,,,,,,,,,
Buff-武器-精3心弦夜响-暴伤,,,,,,,,,,,,,,,,
Buff-武器-精4心弦夜响-暴伤,,,,,,,,,,,,,,,,
Buff-武器-精5心弦夜响-暴伤,,,,,,,,,,,,,,,,
Buff-武器-精1心弦夜响-无视火抗,,,,,,,,,,,,,,,,
Buff-武器-精2心弦夜响-无视火抗,,,,,,,,,,,,,,,,
Buff-武器-精3心弦夜响-无视火抗,,,,,,,,,,,,,,,,
Buff-武器-精4心弦夜响-无视火抗,,,,,,,,,,,,,,,,
Buff-武器-精5心弦夜响-无视火抗,,,,,,,,,,,,,,,,
Buff-武器-精1心弦夜响-心弦触发器,,,,,,,,,,,,,,,,
Buff-武器-精2心弦夜响-心弦触发器,,,,,,,,,,,,,,,,
Buff-武器-精3心弦夜响-心弦触发器,,,,,,,,,,,,,,,,
Buff-武器-精4心弦夜响-心弦触发器,,,,,,,,,,,,,,,,
Buff-武器-精5心弦夜响-心弦触发器,,,,,,,,,,,,,,,,
Buff-角色-悠真-核心被动-特殊冲刺攻击暴击率,1201_SRA_1|1201_SRA_2|1201_SRA_3,,,,,,,,,,,,,,,
Buff-角色-悠真-核心被动-特殊冲刺攻击暴伤,1201_SRA_1|1201_SRA_2|1201_SRA_3,,,,,,,,,,,,,,,
Buff-角色-悠真-组队被动,,,,,,,,,,,,,,,,
Buff-角色-悠真-2画-特殊冲刺攻击增伤,,,,,,,,,,5|6,,,,,,
Buff-角色-悠真-6画-无视电抗,,,,,,,,,,,,,,,,
Buff-武器-精1残心青囊-暴击率,,,,,,,,,,,,,,,,
Buff-武器-精2残心青囊-暴击率,,,,,,,,,,,,,,,,
