名称,"ID",稀有度,职业,0级基础攻击力,60级基础攻击力,高级属性,0级高级属性值,60级高级属性值
时光切片,13002,A,支援,40,594.80 ,穿透率,8.00%,20.00%
街头巨星,13001,A,强攻,40,594.80 ,攻击力,10.00%,25.00%
「灰烬」-钴蓝,12015,B,命破,32,475.84 ,生命值,8.00%,20.00%
「恒等式」-变格,12014,B,防护,32,475.84 ,防御力,12.80%,32.00%
「恒等式」-本格,12013,B,防护,32,475.84 ,防御力,12.80%,32.00%
「电磁暴」-叁式,12012,B,异常,32,475.84 ,穿透率,6.40%,16.00%
「电磁暴」-贰式,12011,B,异常,32,475.84 ,异常精通,24.00 ,60.00 
「电磁暴」-壹式,12010,B,异常,32,475.84 ,攻击力,8.00%,20.00%
「湍流」-斧型,12009,B,击破,32,475.84 ,能量自动回复,16.00%,40.00%
「湍流」-矢型,12008,B,击破,32,475.84 ,冲击力,4.80%,12.00%
「湍流」-铳型,12007,B,击破,32,475.84 ,攻击力,8.00%,20.00%
「残响」-Ⅲ型,12006,B,支援,32,475.84 ,生命值,8.00%,20.00%
「残响」-Ⅱ型,12005,B,支援,32,475.84 ,能量自动回复,16.00%,40.00%
「残响」-Ⅰ型,12004,B,支援,32,475.84 ,攻击力,8.00%,20.00%
「月相」-朔,12003,B,强攻,32,475.84 ,暴击率,6.40%,16.00%
「月相」-晦,12002,B,强攻,32,475.84 ,攻击力,8.00%,20.00%
「月相」-望,12001,B,强攻,32,475.84 ,攻击力,8.00%,20.00%
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,