ID,生命值,攻击力,失衡值上限,防御力,异常积蓄值上限,SubID
20582,0.39,0.1,0.04,0.0,0.04,2050802
20583,0.39,0.1,0.04,0.0,0.04,2050803
20584,0.72,0.21,0.12,0.0,0.12,2050804
20585,0.72,0.21,0.12,0.0,0.12,2050805
20586,1.8,0.3,0.19,0.0,0.19,2050806
20601,0.3,0.0,-0.5,0.0,0.0,2060101
20601,0.2,0.1,-0.5,0.0,0.0,2060102
20601,0.2,0.1,-0.5,0.0,0.0,2060103
20602,0.4,0.0,-0.5,0.0,0.0,2060201
20602,0.3,0.0,-0.5,0.0,0.0,2060202
20602,0.3,0.15,-0.5,0.0,0.0,2060203
20603,-0.2,0.0,-0.5,0.0,0.0,2060301
20603,-0.25,0.1,-0.5,0.0,0.0,2060302
20603,-0.25,0.1,-0.5,0.0,0.0,2060303
20604,0.0,0.0,-0.5,0.0,0.0,2060401
20604,-0.1,0.0,-0.5,0.0,0.0,2060402
20604,-0.1,0.0,-0.5,0.0,0.0,2060403
20605,0.15,0.0,-0.3,0.0,0.0,2060501
20605,0.05,0.1,-0.3,0.0,0.0,2060502
20605,0.05,0.1,-0.3,0.0,0.0,2060503
20606,0.5,0.0,-0.3,0.0,0.0,2060601
20606,0.4,0.0,-0.3,0.0,0.0,2060602
20606,0.4,0.0,-0.3,0.0,0.0,2060603
20607,0.3,0.0,-0.5,0.0,0.0,2060701
20607,0.3,0.1,-0.5,0.0,0.0,2060702
20607,0.2,0.1,-0.5,0.0,0.0,2060703
20671,0.98,0.45,0.02,0.0,0.04,2060711
20672,1.95,0.89,0.04,0.0,0.08,2060712
20673,1.95,0.89,0.04,0.0,0.08,2060713
20674,3.9,1.0,0.1,0.0,0.2,2060714
20675,3.9,1.0,0.1,0.0,0.2,2060715
20676,9.1,1.26,0.17,0.0,0.34,2060716
20608,0.25,0.0,-0.5,0.0,0.0,2060801
20608,0.2,0.0,-0.6,0.0,0.0,2060802
20608,0.2,0.0,-0.6,0.0,0.0,2060803
20609,-0.25,0.0,-0.5,0.0,0.0,2060901
20609,-0.7,0.0,-0.5,0.0,0.0,2060902
20609,-0.7,0.0,-0.5,0.0,0.0,2060903
20610,0.0,0.0,-0.5,0.0,0.0,2061001
20610,-0.45,0.0,-0.5,0.0,0.0,2061002
20610,-0.45,0.0,-0.5,0.0,0.0,2061003
20611,0.15,0.0,-0.6,0.0,0.0,2061101
20611,0.05,0.0,-0.6,0.0,0.0,2061102
20611,0.0,0.0,-0.6,0.0,0.0,2061103
20612,0.3,0.0,-0.6,0.0,0.0,2061201
20612,0.2,-0.15,-0.6,0.0,0.0,2061202
20612,0.2,-0.2,-0.6,0.0,0.0,2061203
20613,0.2,0.0,-0.5,0.0,0.0,2061301
20613,0.0,-0.1,-0.5,0.0,0.0,2061302
20613,0.0,-0.15,-0.5,0.0,0.0,2061303
20614,0.2,0.0,-0.5,0.0,0.0,2061401
20614,0.0,-0.1,-0.5,0.0,0.0,2061402
20614,0.0,-0.2,-0.5,0.0,0.0,2061403
20615,0.0,0.0,-0.5,0.0,0.0,2061501
20615,-0.4,-0.15,-0.7,0.0,0.0,2061502
20615,-0.55,-0.3,-0.7,0.0,0.0,2061503
20616,0.0,-0.2,-0.5,0.0,0.0,2061601
20616,-0.35,-0.35,-0.7,0.0,0.0,2061602
20616,-0.35,-0.45,-0.7,0.0,0.0,2061603
20701,-0.3,0.4,-0.15,0.0,0.0,2070101
20701,-0.3,0.4,-0.15,0.0,0.0,2070102
20701,0.0,0.4,0.0,0.0,0.0,2070103
20702,-0.1,0.4,0.0,0.0,0.0,2070201
20702,-0.1,0.4,0.0,0.0,0.0,2070202
20702,0.0,0.4,0.0,0.0,0.0,2070203
20704,1.2,0.0,-0.5,0.0,0.0,2070401
20704,1.2,0.0,-0.5,0.0,0.0,2070402
20901,0.3,0.0,0.0,0.0,0.0,2090101
20901,0.3,0.0,0.0,0.0,0.0,2090102
20901,0.3,0.0,0.0,0.0,0.0,2090103
20902,0.3,0.0,0.0,0.0,0.0,2090201
20902,0.3,0.0,0.0,0.0,0.0,2090202
20902,0.3,0.0,0.0,0.0,0.0,2090203
20904,0.07,-0.07,-0.03,0.0,0.0,2090401
20904,0.07,-0.07,-0.03,0.0,0.0,2090402
20904,0.07,-0.07,-0.03,0.0,0.0,2090403
20905,0.3,0.0,0.3,0.0,0.0,2090501
20905,0.3,0.0,0.3,0.0,0.0,2090502
20905,0.3,0.0,0.3,0.0,0.0,2090503
20906,0.3,0.0,0.0,0.0,0.0,2090601
20906,0.3,0.0,0.0,0.0,0.0,2090602
20906,0.3,0.0,0.0,0.0,0.0,2090603
20907,0.45,0.0,0.0,0.0,0.0,2090701
20907,0.45,0.0,0.0,0.0,0.0,2090702
20907,0.45,0.0,0.0,0.0,0.0,2090703
20908,0.35,0.0,0.0,0.0,0.0,2090801
20909,0.5,0.0,0.0,0.0,0.0,2090901
20910,0.4,0.0,0.0,0.0,0.0,2091001
20910,0.4,0.0,0.0,0.0,0.0,2091002
20910,0.4,0.0,0.0,0.0,0.0,2091003
20912,0.3,0.0,0.15,0.0,0.0,2091201
20912,0.3,0.0,0.15,0.0,0.0,2091202
20912,0.3,0.0,0.15,0.0,0.0,2091203
20913,0.4,0.0,0.15,0.0,0.0,2091301
20913,0.4,0.0,0.15,0.0,0.0,2091302
20913,0.4,0.0,0.15,0.0,0.0,2091303
20914,0.3,0.0,0.0,0.0,0.0,2091401
20914,0.3,0.0,0.0,0.0,0.0,2091402
20914,0.3,0.0,0.0,0.0,0.0,2091403
20915,0.0,0.0,0.0,0.0,0.0,2091501
20915,0.0,0.0,0.0,0.0,0.0,2091502
20915,0.0,0.0,0.0,0.0,0.0,2091503
20916,0.3,0.0,0.0,0.0,0.0,2091601
20916,0.3,0.0,0.0,0.0,0.0,2091602
20916,0.3,0.0,0.0,0.0,0.0,2091603
20917,0.3,0.0,0.0,0.0,0.0,2091701
20917,0.3,0.0,0.0,0.0,0.0,2091702
20917,0.3,0.0,0.0,0.0,0.0,2091703
20918,0.3,0.0,0.2,0.0,0.0,2091801
20918,0.3,0.0,0.2,0.0,0.0,2091802
20918,0.3,0.0,0.2,0.0,0.0,2091803
20919,0.5,0.0,0.0,0.0,0.0,2091901
20919,0.5,0.0,0.0,0.0,0.0,2091902
20919,0.5,0.0,0.0,0.0,0.0,2091903
20920,0.5,0.0,0.2,0.0,0.0,2092001
20920,0.5,0.0,0.2,0.0,0.0,2092002
20920,0.5,0.0,0.2,0.0,0.0,2092003
20921,0.6,0.0,0.0,0.0,0.0,2092101
20921,0.6,0.0,0.0,0.0,0.0,2092102
20921,0.6,0.0,0.0,0.0,0.0,2092103
20922,1.0,0.0,0.0,0.0,0.0,2092201
20923,1.2,0.0,0.0,0.0,0.0,2092301
20924,0.45,0.0,0.0,0.0,0.0,2092401
20925,1.0,0.0,0.0,0.0,0.0,2092501
20926,1.1,0.0,0.0,0.0,0.0,2092601
20927,1.15,0.0,0.0,0.0,0.0,2092701
20928,0.4,0.0,0.0,0.0,0.0,2092801
20929,0.7,0.0,0.0,0.0,0.0,2092901
20930,1.3,0.0,0.0,0.0,0.0,2093001
21401,0.33,0.0,0.9,0.0,0.85,2140101
21401,0.33,0.0,0.9,0.0,0.85,2140102
21401,0.33,0.0,0.9,0.0,0.85,2140103
21402,1.23,0.0,1.48,0.0,1.55,2140201
21402,1.23,0.0,1.48,0.0,1.55,2140202
21402,1.23,0.0,1.48,0.0,1.55,2140203
21901,0.7,0.0,0.0,0.0,0.0,2190101
21901,0.5,0.0,0.0,0.0,0.0,2190102
21901,0.35,0.0,0.0,0.0,0.0,2190103
21902,0.7,-0.3,0.0,0.0,0.0,2190201
21902,0.5,-0.3,0.0,0.0,0.0,2190202
21902,0.35,-0.3,0.0,0.0,0.0,2190203
22101,0.8,0.0,0.8,0.0,0.0,2210101
22101,0.8,0.0,0.4,0.0,0.0,2210102
22101,0.8,0.0,0.4,0.0,0.0,2210103
22301,0.1,0.0,0.05,0.0,0.0,2230101
22301,0.1,0.0,0.05,0.0,0.0,2230102
22301,0.1,0.0,0.05,0.0,0.0,2230103
22302,0.2,0.0,0.1,0.0,0.0,2230201
22302,0.2,0.0,0.1,0.0,0.0,2230202
22302,0.2,0.0,0.1,0.0,0.0,2230203
22303,0.3,0.0,0.15,0.0,0.0,2230301
22303,0.3,0.0,0.15,0.0,0.0,2230302
22303,0.3,0.0,0.15,0.0,0.0,2230303
22304,0.4,0.0,0.2,0.0,0.0,2230401
22304,0.4,0.0,0.2,0.0,0.0,2230402
22304,0.4,0.0,0.2,0.0,0.0,2230403
22305,0.5,0.0,0.25,0.0,0.0,2230501
22305,0.5,0.0,0.25,0.0,0.0,2230502
22305,0.5,0.0,0.25,0.0,0.0,2230503
22306,0.5,0.25,0.25,0.0,0.25,2230601
22306,0.5,0.25,0.25,0.0,0.25,2230602
22306,0.5,0.25,0.25,0.0,0.25,2230603
22307,0.75,0.5,0.35,0.0,0.35,2230701
22307,0.75,0.5,0.35,0.0,0.35,2230702
22307,0.75,0.5,0.35,0.0,0.35,2230703
22308,1.0,0.5,0.5,0.0,0.5,2230801
22308,1.0,0.5,0.5,0.0,0.5,2230802
22308,1.0,0.5,0.5,0.0,0.5,2230803
22310,0.0,-0.25,0.0,0.0,0.0,2231000
22311,0.25,0.0,0.15,0.0,0.15,2231001
22312,0.5,0.15,0.25,0.0,0.25,2231002
22313,0.6,0.15,0.25,0.0,0.25,2231003
22314,0.75,0.25,0.25,0.0,0.25,2231004
22315,1.0,0.5,0.5,0.0,0.5,2231005
22316,1.25,0.5,0.5,0.0,0.5,2231006
22317,1.5,0.6,0.5,0.0,0.5,2231007
22318,1.75,0.7,0.5,0.0,0.5,2231008
22319,2.0,0.8,0.5,0.0,0.5,2231009
22320,2.25,0.9,0.5,0.0,0.5,2231010
22321,2.5,1.0,0.5,0.0,0.5,2231011
22322,2.75,1.0,0.5,0.0,0.5,2231012
22323,3.0,1.0,0.5,0.0,0.5,2231013
22324,3.5,1.0,0.5,0.0,0.5,2231014
22325,4.0,1.0,0.5,0.0,0.5,2231015
22326,4.0,1.0,1.0,0.0,1.0,2231016
22401,0.6,-0.25,0.0,0.0,0.0,2240101
22402,0.3,-0.3,0.0,0.0,0.0,2240102
22403,0.15,-0.35,0.0,0.0,0.0,2240103
22404,0.0,-0.35,0.0,0.0,0.0,2240104
22405,0.7,-0.3,0.0,0.0,0.0,2240105
22406,0.92,-0.25,0.0,0.0,0.0,2240106
22407,0.56,-0.3,0.0,0.0,0.0,2240107
22408,0.26,-0.35,0.0,0.0,0.0,2240108
22409,0.2,-0.35,0.0,0.0,0.0,2240109
22410,1.0,-0.3,0.0,0.0,0.0,2240110
22411,0.92,-0.35,0.0,0.0,0.0,2240111
22412,0.56,-0.35,0.0,0.0,0.0,2240112
22413,0.56,-0.3,0.0,0.0,0.0,2240113
22414,0.72,-0.3,0.0,0.0,0.0,2240114
22415,0.56,-0.35,0.0,0.0,0.0,2240115
22416,0.75,-0.3,0.0,0.0,0.0,2240116
22417,0.55,-0.35,0.0,0.0,0.0,2240117
22418,0.35,-0.35,0.0,0.0,0.0,2240118
22419,0.75,-0.3,0.0,0.0,0.0,2240119
22420,0.75,-0.3,0.0,0.0,0.0,2240120
22421,1.3,-0.3,0.0,0.0,0.0,2240121
22422,1.46,-0.3,0.0,0.0,0.0,2240122
22423,0.75,-0.35,0.0,0.0,0.0,2240123
22424,0.75,-0.3,0.0,0.0,0.0,2240124
22425,0.45,-0.35,0.0,0.0,0.0,2240125
22426,1.0,-0.3,0.0,0.0,0.0,2240126
22427,0.61,-0.3,0.0,0.0,0.0,2240127
22428,0.885,-0.3,0.0,0.0,0.0,2240128
22801,0.07,0.05,0.0,0.0,0.0,2280101
22802,0.24,0.06,0.06,0.0,0.0,2280201
22803,0.32,0.07,0.07,0.0,0.02,2280301
22804,0.65,0.07,0.07,0.0,0.05,2280401
22805,0.85,0.08,0.08,0.0,0.07,2280501
22806,0.95,0.08,0.08,0.0,0.13,2280601
22807,-0.5,-0.33,-0.12,0.0,-0.31,2280701
22808,1.07,0.1,0.08,0.0,0.15,2280801
23001,0.3,0.0,0.5,0.0,0.0,2300101
23002,0.15,0.0,0.5,0.0,0.0,2300201
23003,1.0,0.0,0.5,0.0,-0.3,2300301
23003,-0.25,0.0,0.5,0.0,-0.3,2300302
23003,0.0,0.0,0.5,0.0,-0.3,2300303
23004,-0.3,0.0,-0.15,0.0,0.0,2300401
23005,0.0,0.0,-0.2,0.0,0.0,2300501
23005,0.0,0.0,0.25,0.0,0.0,2300502
23005,0.0,0.0,0.25,0.0,0.0,2300503
23006,-0.3,0.0,0.5,0.0,0.0,2300601
23101,0.75,0.0,0.0,0.0,0.0,2310101
23101,0.75,0.0,0.0,0.0,0.0,2310102
23101,0.75,0.0,0.0,0.0,0.0,2310103
23102,1.0,0.0,0.0,0.0,0.0,2310201
23102,1.0,0.0,0.0,0.0,0.0,2310202
23102,1.0,0.0,0.0,0.0,0.0,2310203
23103,1.5,0.0,0.0,0.0,0.0,2310301
23103,1.5,0.0,0.0,0.0,0.0,2310302
23103,1.5,0.0,0.0,0.0,0.0,2310303
23104,0.5,0.0,0.0,0.0,0.0,2310401
23104,0.75,0.0,0.0,0.0,0.0,2310402
23104,0.75,0.0,0.0,0.0,0.0,2310403
23105,0.0,-0.75,-0.5,0.0,0.0,2310501
23105,0.0,-0.8,-0.6,0.0,0.0,2310502
23105,0.0,-0.8,-0.6,0.0,0.0,2310503
23106,0.25,-0.5,-0.5,0.0,0.0,2310601
23106,0.25,-0.6,-0.6,0.0,0.0,2310602
23106,0.25,-0.6,-0.6,0.0,0.0,2310603
23107,0.5,-0.3,-0.5,0.0,0.0,2310701
23107,0.6,-0.5,-0.6,0.0,0.0,2310702
23107,0.6,-0.5,-0.6,0.0,0.0,2310703
23108,0.25,-0.3,-0.5,0.0,0.0,2310801
23108,0.6,-0.5,-0.6,0.0,0.0,2310802
23108,0.6,-0.5,-0.6,0.0,0.0,2310803
29101,0.4,0.0,0.0,0.0,0.0,2910101
29101,0.2,0.0,0.0,0.0,0.0,2910102
29101,0.0,0.0,0.0,0.0,0.0,2910103
29301,-0.15,0.0,0.33,0.0,0.33,2930101
29302,0.07,0.0,0.67,0.0,0.33,2930201
29303,0.27,0.0,1.0,0.0,0.33,2930301
29304,0.38,-0.1,1.0,0.0,0.33,2930401
29305,0.48,-0.5,1.0,0.0,0.33,2930501
29306,0.3,0.0,1.0,0.0,0.33,2930601
29312,0.17,0.0,0.33,0.0,0.33,2931201
29313,0.37,0.0,0.67,0.0,0.33,2931301
29314,0.48,0.0,1.0,0.0,0.33,2931401
29315,0.58,-0.2,1.0,0.0,0.33,2931501
29316,0.4,0.0,1.0,0.0,0.33,2931601
205101,0.0,0.0,0.0,0.0,0.0,20510101
205102,0.3,0.086,0.03,0.0,0.06,20510102
205103,0.3,0.086,0.03,0.0,0.06,20510103
205104,1.78,0.36,0.08,0.0,0.16,20510104
205105,1.78,0.36,0.08,0.0,0.16,20510105
205106,5.2,0.4,0.13,0.0,0.26,20510106
205111,2.59,0.345,0.13,0.0,0.26,20511101
205121,0.0,0.0,0.0,0.0,0.0,20512101
205122,0.49,0.2,0.03,0.0,0.06,20512102
205123,0.49,0.2,0.03,0.0,0.06,20512103
205124,2.1,0.36,0.08,0.0,0.16,20512104
205125,2.1,0.36,0.08,0.0,0.16,20512105
205126,6.0,0.5,0.13,0.0,0.26,20512106
205131,0.0,0.0,0.0,0.0,0.0,20513101
205132,0.89,0.08,0.03,0.0,0.06,20513102
205133,0.89,0.08,0.03,0.0,0.06,20513103
205134,2.95,0.24,0.08,0.0,0.16,20513104
205135,2.95,0.24,0.08,0.0,0.16,20513105
205136,7.03,0.39,0.13,0.0,0.26,20513106
